"","站名","年","月","PM2.5 天數","PM10 天數","PM2.5 average","PM10 average","縣市","鄉鎮"
"220","鳳山","2014","01",27,11,53.5160316347203,120.770612101783,"高雄市","鳳山區"
"221","潮州","2014","01",25,5,50.8288897287845,103.437003272557,"屏東縣","潮州鎮"
"222","線西","2014","01",17,3,44.5587891538102,79.9131603553062,"彰化縣","線西鄉"
"223","橋頭","2014","01",20,7,48.5996589315313,106.840723150155,"高雄市","橋頭區"
"224","頭份","2014","01",15,2,38.7532024310425,66.5869682094437,"苗栗縣","頭份鎮"
"225","龍潭","2014","01",11,3,33.7061293661925,69.2141187470781,"桃園市","龍潭區"
"226","豐原","2014","01",13,0,32.7397112782807,53.7021968330874,"臺中市","豐原區"
"227","關山","2014","01",2,0,17.5980431443265,44.4224186869699,"臺東縣","關山鎮"
"228","觀音","2014","01",13,3,35.5702027285477,80.5018093024961,"桃園市","觀音區"
"229","二林","2015","01",21,0,43.4398030090527,74.260396744443,"彰化縣","二林鎮"
"230","三重","2015","01",6,0,22.6003389434315,69.2273258532024,"新北市","三重區"
"231","三義","2015","01",7,0,26.7835201848175,49.8064675506821,"苗栗縣","三義鄉"
"232","土城","2015","01",14,0,31.0458848654851,53.8609163160355,"新北市","土城區"
"233","士林","2015","01",5,0,23.3618725827702,46.1513994967656,"臺北市","北投區"
"234","大同","2015","01",4,0,22.9904160822814,64.4660206553615,"臺北市","大同區"
"235","大里","2015","01",19,0,38.1414128765111,69.03324514429,"臺中市","大里區"
"236","大園","2015","01",9,0,28.1785979915363,59.8372338390922,"桃園市","大園區"
"237","大寮","2015","01",29,0,47.4107431255047,90.8783841217221,"高雄市","大寮區"
"238","小港","2015","01",30,5,48.8169515734383,103.020240979217,"高雄市","小港區"
"239","中山","2015","01",8,0,25.6230715287518,69.6388499298738,"臺北市","中山區"
"240","中壢","2015","01",9,0,26.1443909643419,73.1049555867228,"桃園市","中壢區"
"241","仁武","2015","01",25,7,45.8395278167368,108.048814453318,"高雄市","仁武區"
"242","斗六","2015","01",25,1,47.1162342215989,79.9638849929874,"雲林縣","斗六市"
"243","冬山","2015","01",6,0,24.1251434400102,50.0569138084917,"宜蘭縣","冬山鄉"
"244","古亭","2015","01",9,0,27.8914796633941,55.3755259467041,"臺北市","大安區"
"245","左營","2015","01",28,2,49.4504090696587,96.1552711547452,"高雄市","左營區"
"246","平鎮","2015","01",10,0,27.3980747163075,65.8525819201836,"桃園市","平鎮區"
"247","永和","2015","01",6,0,24.8933496961197,48.1739714820009,"新北市","永和區"
"248","安南","2015","01",20,4,42.7494793658889,94.8973288282545,"臺南市","安南區"
"249","朴子","2015","01",18,6,39.1358403459561,99.8608738152918,"嘉義縣","朴子市"
"250","汐止","2015","01",6,0,25.6210193499815,48.4596774193548,"新北市","汐止區"
"251","竹山","2015","01",26,0,52.403337370904,85.8702938667613,"南投縣","竹山鎮"
"252","竹東","2015","01",9,0,25.9434315100514,49.1314866760168,"新竹縣","竹東鎮"
"253","西屯","2015","01",17,0,34.9226273959794,66.6075268817204,"臺中市","西屯區"
"254","沙鹿","2015","01",10,0,28.8054664136186,65.2470780738663,"臺中市","沙鹿區"
"255","宜蘭","2015","01",5,0,24.2485716714328,49.755556972247,"宜蘭縣","宜蘭市"
"256","忠明","2015","01",16,0,35.3322814399252,62.6330015823354,"臺中市","南屯區"
"257","松山","2015","01",5,0,23.5349579242637,47.8063347358579,"臺北市","松山區"
"258","板橋","2015","01",9,0,27.245624882364,56.5776147064716,"新北市","板橋區"
"259","林口","2015","01",10,0,28.7758085766501,50.8977325853202,"新北市","林口區"
"260","林園","2015","01",27,0,46.4259573931642,65.9922542394492,"高雄市","林園區"
"261","花蓮","2015","01",3,0,15.5465755025713,39.856708742403,"花蓮縣","花蓮市"
"262","金門","2015","01",23,13,53.9048036465638,111.966690042076,"金門縣","金城鎮"
"263","前金","2015","01",24,6,44.9562029835522,106.050198690977,"高雄市","前金區"
"264","前鎮","2015","01",18,1,41.9556535096507,93.5624282799949,"高雄市","前鎮區"
"265","南投","2015","01",23,0,40.5880721662629,81.292642058736,"南投縣","南投市"
"266","屏東","2015","01",29,1,45.8288123167155,89.5054985337243,"屏東縣","屏東市"
"267","恆春","2015","01",0,0,16.3657466890286,36.0377243140217,"屏東縣","恆春鎮"
"268","美濃","2015","01",24,0,39.8416316035531,78.7581813931744,"高雄市","美濃區"
"269","苗栗","2015","01",12,0,31.0982586838127,55.8752792906019,"苗栗縣","苗栗市"
"270","埔里","2015","01",20,0,39.987260402057,57.0444132772324,"南投縣","埔里鎮"
"271","桃園","2015","01",11,0,28.2913160355306,52.8129967274427,"桃園市","桃園區"
"272","馬公","2015","01",6,0,27.1302594670407,55.8377746610566,"澎湖縣","馬公市"
"273","馬祖","2015","01",18,2,41.6303262539237,75.2300724637681,"連江縣","南竿鄉"
"274","基隆","2015","01",6,0,25.0852671171745,38.3816513663989,"基隆市","信義區"
"275","崙背","2015","01",22,0,47.1400187003273,79.1080528284245,"雲林縣","崙背鄉"
"276","淡水","2015","01",3,0,19.6939702069786,49.8582949308756,"新北市","淡水區"
